#configuration,time,lower,upper
L5-A3-V02,7.96,7.3,8.6
L5-A3-V10,7.8,7.6,7.3
L5-A3-V20,7.8,7.6,8.2
L5-A3-Int,6.5,6.2,6.9
L5-A5-V20,11.77,11.24,12.3
L5-A5-Int,8.86,7.7,10
L5-A10-V20,83.4,75.4,91.4
L5-A10-Int,80.6,75,86
