name,mean,stddev
L5-A3-V2,8.560148971260002,0.5528989286439818
L5-A3-V10,7.76568748248,0.7807962953319927
L5-A3-V20,9.77925619694,1.9367794407298535
L5-A3-VInt,7.9672250139999985,0.5294348841441368
L5-A5-V2,9.18732471978,0.4209734191095961
L5-A5-V10,10.343898464259999,1.3914369843598602
L5-A5-V20,9.55594823522,0.5754807722371723
L5-A5-VInt,13.649118924200002,1.055696581983742
L5-A10-V2,85.04028448036,10.296992079251455
L5-A10-V10,85.02309630816,7.86352913425745
L5-A10-V20,91.51214424518001,8.510171993965796
L5-A10-VInt,14.241532254180001,2.106926968522944
L10-A3-V2,9.031462484939999,0.22207834397926787
L10-A3-V10,9.264575033540002,0.4838716977292885
L10-A3-V20,9.31052347608,0.5600223746363991
L10-A3-VInt,10.827101651979998,2.0599597544746557
L10-A5-V2,10.835191954819999,1.2904657942748305
L10-A5-V10,10.34188628532,1.5799286993298067
L10-A5-V20,10.682298069639998,0.8546255021265864
L10-A5-VInt,15.207674570539998,0.6440971528391299
L10-A10-V2,86.08995399646,9.317103978630866
L10-A10-V10,89.31935055048001,10.363572288113692
L10-A10-V20,95.07518977964,12.107457908277134
L10-A10-VInt,16.090817656680002,1.3574954227003178
