name,mean,stddev
L5-A3-V2,48.32915018186,30.28855446230841
L5-A3-V10,39.11150956162,29.08964222317152
L5-A3-V20,47.73209327126,39.20317722644216
L5-A3-VInt,29.797669824139994,21.96678313393914
L5-A5-V2,38.49092226233999,22.456279955541458
L5-A5-V10,38.305264012680006,25.323150192734584
L5-A5-V20,31.681548564640003,20.58789165478192
L5-A5-VInt,22.91104267376,16.755445407882675
L5-A10-V2,86.62634158356,47.72973560484153
L5-A10-V10,41.142525121999995,33.54415432127446
L5-A10-V20,75.86417058784,38.9653764364827
L5-A10-VInt,114.12517748644,142.79401694551115
L10-A3-V2,10.62977336172,4.180368341221939
L10-A3-V10,13.067103791040001,6.047467970838041
L10-A3-V20,16.1061434838,9.498186312579131
L10-A3-VInt,18.227410543439998,9.082504296501769
L10-A5-V2,17.1021013917,7.184658539453976
L10-A5-V10,31.264349415959998,19.48361273423121
L10-A5-V20,21.360484513219998,13.798809649038303
L10-A5-VInt,13.812261459479998,4.379959106151217
L10-A10-V2,23.86568376422,15.812521134993188
L10-A10-V10,25.94421955692,12.605866581455492
L10-A10-V20,22.2038004785,19.285140924377494
L10-A10-VInt,22.058115104920002,12.258949372523475
