#configuration,time,lower,upper
L5-A3-V02,36,13,60
L5-A3-V10,29.5,13,46
L5-A3-V20,40,13,68
L5-A3-Int,31,16,46
L5-A5-V20,50,16,84
L5-A5-Int,46,14,78
L5-A10-V20,94,1,200
L5-A10-Int,55,13,97
L10-A3-V02,10,4,16
L10-A3-V10,11.7,5.7,17.7
L10-A3-V20,18.6,8,29.1
L10-A3-Int,16.1,6.6,25.6
L10-A5-V20,16.7,4.3,29.1
L10-A5-Int,19.5,8,31
L10-A10-V20,24.9,11.4,38.4
L10-A10-Int,28.2,8,48.5
